name,lat,lon
Catedral de Santa Maria,42.357868,1.461788
Capella de la Mare de D\u00e9u del Roser,42.36334,1.629273
Capella de Sant Rom\u00e0 de Banat,42.344528,1.527222
Ermita de la Mare de D\u00e9u de les Peces,42.351528,1.518111
Ermita de la Mare de D\u00e9u del Carme,42.355575,1.582308
Campanar de Sant Mart\u00ed de Bescaran,42.400386,1.544654
Col\u2022legiata de Santa Maria de Castellb\u00f2,42.375216,1.355837
Esgl\u00e9sia de la Mare de D\u00e9u de la Salut de Montanissell,42.194722,1.256111
Esgl\u00e9sia de Sant Andreu del castell d\u2019Oliana,42.085739,1.299415
Esgl\u00e9sia de Sant Andreu d\u2019Aristot,42.378839,1.623949
Esgl\u00e9sia de Sant Climent de Coll de Narg\u00f3 ,42.171604,1.313116
Esgl\u00e9sia de Sant Esteve de Bar,42.358521,1.638979
Esgl\u00e9sia de Sant Esteve d\u2019Aliny\u00e0 ,42.180292,1.422967
Esgl\u00e9sia de Sant Mart\u00ed de Tost,42.272865,1.384835
Esgl\u00e9sia de Sant Mart\u00ed d\u2019Ars,42.444647,1.394449
Esgl\u00e9sia de Sant Rom\u00e0 de Valldarques,42.150169,1.226419
Esgl\u00e9sia de Sant Sadurn\u00ed de la Salsa,42.035,1.343333
Esgl\u00e9sia de Sant Sebasti\u00e0 de la Clua,41.990942,1.27808
Esgl\u00e9sia de Sant Vicen\u00e7 d\u2019Estamariu,42.375528,1.525378
Esgl\u00e9sia de Santa Maria de Castell-llebre,42.085086,1.289839
Esgl\u00e9sia de Santa Maria,42.211266,1.328672
Esgl\u00e9sia dels Sants Just i Pastor,42.340056,1.494
Esgl\u00e9sia parroquial de Sant Climent de Cava,42.324883,1.605044
Esgl\u00e9sia parroquial de Sant Esteve,42.351684,1.508417
Esgl\u00e9sia parroquial de Sant Girv\u00e8s de Castellnou de Carcolze,42.387387,1.58201
Esgl\u00e9sia parroquial de Sant Joan de Montanissell,42.199289,1.248497
Esgl\u00e9sia parroquial de Sant Pere ,42.35825,1.525935
